column,dtype,non_null,nulls,null_pct,n_unique
TEMA_TRATADOS,object,56473,0,0.0,17
IEC,object,56473,0,0.0,19
FECHA_SEGUIMIENTO,object,56473,0,0.0,554
ALERTAS_PSICOSOCIALES,object,56473,0,0.0,11
CUMPLIO,object,56473,0,0.0,4
ACOMPANAMIENTO_2,int64,56473,0,0.0,1
PERFIL.1,object,56473,0,0.0,4
TEMAS_TRATADOS,object,56473,0,0.0,26
IEC.1,object,56473,0,0.0,18
FECHA,object,56473,0,0.0,98
ALERTAS_PSICOSOCIALES.1,object,56473,0,0.0,9
CUMPLIO.1,object,56473,0,0.0,4
ACOMPANAMIENTO_3,int64,56473,0,0.0,1
PERFIL.2,object,56473,0,0.0,5
TEMAS_TRATADOS.1,object,56473,0,0.0,26
IEC.2,object,56473,0,0.0,14
FECHA.1,object,56473,0,0.0,77
ALERTAS_PSICOSOCIALES.2,object,56473,0,0.0,9
CUMPLIO.2,object,56473,0,0.0,4
ACOMPANAMIENTO_4,int64,56473,0,0.0,1
PERFIL.3,object,56473,0,0.0,3
TEMAS_TRATADOS.2,object,56473,0,0.0,8
IEC.3,object,56473,0,0.0,22
FECHA.2,object,56473,0,0.0,104
CUMPLIO.3,object,56473,0,0.0,4
CONDICIONES_CRONICAS,object,56473,0,0.0,85
ENFERMEDADES_TRANSMISIBLES_Y_ETV,object,56473,0,0.0,6
ALERTAS_EN_NUTRICION,object,56473,0,0.0,13
ALERTAS_PSICOSOCIALES.3,object,56473,0,0.0,9
ALERTAS_SALUD_BUCAL,object,56473,0,0.0,75
ALERTAS_INFANCIA,object,56473,0,0.0,10
ALERTAS_EN_MUJERES,object,56473,0,0.0,8
ETAPA_DE_GESTACION,object,56473,0,0.0,3
PESO,float64,56473,0,0.0,601
TALLA_CM,float64,56473,0,0.0,138
CLASIFICACION_NUTRICIONAL,object,56473,0,0.0,10
REQUIERE_ASESORIA_DE_NUTRICION,object,56473,0,0.0,3
"INTERVENCION_DE_NINO,_NINA_O_ADOLESCENTE_QUE_TERMINA_EL_PROCESO",object,56473,0,0.0,5
FECHA_-_SEGUIMIENTO_CIERRE,object,56473,0,0.0,835
NNA_DESVINCULADO_DE_LA_ACTIVIDAD_LABORAL,object,56473,0,0.0,6
"Sub-Seccion_=>_Intervencion_de_Nino,_Nina_o_Adolescente",int64,56473,0,0.0,1
Sub-Seccion_=>_RESULTADOS_DE_LA_INTERVENCION,int64,56473,0,0.0,1
ADOLESCENTE_TRABAJO_PROTEGIDO,object,56473,0,0.0,4
Sub-Seccion_=>_RESULTADOS_DE_LA_REPOSICION,int64,56473,0,0.0,1
FECHA_-_REPOSICION_DE_PSICOLOGO_O_TRABAJADOR_SOCIAL_POSTERIOR_AL_SEGUIMIENTO_-_CIERRE,object,56473,0,0.0,247
NNA_DESVINCULADO_DE_LA_ACTIVIDAD_LABORAL.1,object,56473,0,0.0,4
ADOLESCENTE_TRABAJO_PROTEGIDO.1,object,56473,0,0.0,4
